var_autonomy,var_engagement,var_performance
3.415,4.141,3.25
3.118,4.036,3.57
3.3,4.672,4.181
3.027,2.704,3.27
3.547,3.394,3.4
3.229,2.885,3.002
2.481,2.75,3.071
3.47,3.957,3.702
1.864,2.039,1.629
3.473,2.817,2.229
2.722,3.301,3.398
2.337,3.043,2.543
2.854,2.492,2.411
1.99,1.71,2.179
3.201,3.414,3.0
3.426,3.783,3.135
2.813,1.817,2.562
2.56,2.684,3.268
3.211,2.881,2.722
2.521,2.971,3.524
3.159,3.263,3.119
3.573,3.155,3.251
3.818,3.66,3.666
3.361,2.839,3.106
3.226,2.803,3.077
3.485,3.236,3.862
3.1,2.626,2.487
1.996,2.828,2.94
3.597,2.915,3.394
2.87,2.059,3.169
3.192,3.184,2.733
3.104,3.102,3.018
3.675,3.699,4.077
3.883,3.676,4.06
3.291,3.55,4.113
2.298,2.249,2.195
2.747,2.431,3.511
2.779,2.783,2.37
4.379,3.054,3.814
2.294,3.179,2.398
2.319,2.91,3.006
3.371,2.953,3.133
3.058,3.834,3.381
3.382,4.127,2.81
0.739,1.015,1.382
2.796,3.389,3.332
3.515,1.85,2.624
4.031,3.456,3.876
3.428,2.339,2.619
2.481,2.518,3.163
1.54,1.548,2.395
3.811,3.69,2.469
2.374,2.822,2.965
3.062,3.536,3.669
1.886,1.677,1.898
3.032,2.863,2.416
3.349,2.857,2.481
3.788,3.129,3.778
4.008,3.778,2.925
3.341,3.069,2.219
2.638,3.25,3.507
3.46,3.685,3.543
3.55,4.377,4.243
2.287,1.867,1.509
3.11,2.877,3.419
2.502,2.103,2.251
3.419,3.505,3.315
3.078,2.87,3.015
2.396,2.574,2.817
3.681,2.773,2.812
3.718,4.284,4.453
2.916,2.502,2.098
1.985,2.104,2.06
2.732,3.167,4.187
3.185,3.676,3.728
3.024,3.558,3.619
2.865,2.159,2.187
2.908,3.299,2.013
3.218,3.606,3.401
2.257,3.148,2.955
2.009,3.14,2.319
2.644,2.952,2.67
3.125,3.188,2.901
1.411,1.656,1.727
2.983,2.809,3.155
2.847,3.204,3.522
1.364,2.363,2.383
3.419,3.381,2.428
2.0,1.947,2.026
3.074,1.876,2.053
3.26,3.408,3.566
3.48,3.021,3.247
4.102,3.995,3.942
2.274,2.619,2.795
2.696,3.154,2.922
3.16,3.342,3.481
