respondent_id,group,age,autonomy_1,autonomy_2,autonomy_3,engagement_1,engagement_2,engagement_3,purchase_1,purchase_2,purchase_3
134,B,30,1,2,3,2,2,3,3,3,2
135,A,24,2,2,3,3,3,2,2,2,3
136,B,30,2,3,2,2,2,2,3,3,3
137,A,37,4,4,4,4,4,3,4,3,4
138,B,37,2,2,2,2,2,2,1,1,2
139,A,39,4,4,4,3,3,4,3,3,4
140,B,30,4,4,4,3,4,3,2,2,2
141,A,37,4,5,5,4,4,4,3,4,4
142,B,47,3,4,3,3,3,3,4,3,3
143,A,53,3,3,3,4,3,3,3,3,3
144,B,36,3,3,4,2,2,2,4,4,4
145,A,34,2,2,2,2,2,1,2,2,2
146,B,38,4,4,2,3,3,3,3,3,4
147,A,41,3,3,2,1,2,2,2,3,3
148,B,39,2,3,3,3,3,3,3,3,4
149,A,40,4,3,4,2,2,2,3,3,3
150,B,39,2,3,3,4,3,4,3,2,3
151,A,48,3,2,3,3,2,2,3,2,3
152,B,30,4,5,4,4,3,4,4,4,5
153,A,38,3,3,3,3,3,4,3,3,
154,B,32,3,3,4,3,3,4,3,3,3
155,A,25,4,2,3,3,3,3,2,3,2
156,B,26,3,4,3,3,3,3,3,3,3
157,A,49,3,3,2,3,4,3,4,4,4
158,B,39,4,4,5,5,5,5,4,4,4
159,A,46,4,3,3,4,4,4,3,4,3
160,B,21,3,3,3,2,2,3,1,2,2
161,A,32,5,4,5,4,4,4,5,5,5
162,B,30,4,4,4,4,3,3,3,4,4
163,A,21,2,3,4,4,4,3,2,2,3
164,B,26,5,5,5,5,5,5,5,5,5
165,A,36,3,3,3,3,3,3,3,3,3
166,B,47,4,4,4,3,3,3,3,4,4
167,A,33,4,4,3,3,3,3,2,4,3
168,B,39,4,4,4,5,4,3,5,4,4
169,A,30,3,4,3,4,3,3,3,2,3
170,B,36,4,4,3,3,3,4,2,3,3
171,A,20,4,3,5,4,4,4,4,3,4
172,B,39,1,1,2,3,3,4,3,4,4
173,A,39,3,3,2,2,3,3,3,3,3
174,B,39,4,3,3,3,3,3,2,3,3
175,A,30,3,3,3,3,1,3,3,2,2
176,B,44,5,4,4,3,4,4,4,5,5
177,A,50,4,4,4,4,4,4,5,5,4
178,B,51,1,2,2,3,3,3,2,3,2
179,A,22,2,2,3,3,3,3,3,3,3
180,B,26,4,4,4,4,5,4,5,5,5
181,A,42,4,3,2,3,4,4,4,5,4
182,B,26,2,3,2,3,4,3,3,2,2
183,A,23,3,3,2,2,3,3,2,2,3
184,B,44,3,4,3,3,3,2,2,4,3
185,A,31,3,3,3,3,3,3,2,2,2
186,B,20,1,2,3,2,3,2,2,2,1
187,A,49,3,3,3,4,3,4,2,3,3
188,B,30,3,4,4,3,3,3,4,3,3
189,A,29,3,3,4,4,2,3,5,3,4
190,B,22,2,2,2,1,2,2,1,1,1
191,A,33,3,3,3,3,3,3,3,4,4
192,B,40,4,3,4,3,3,4,3,3,4
193,A,29,3,3,3,3,3,3,2,3,2
194,B,22,3,4,4,3,4,3,3,3,3
195,A,43,2,1,1,3,2,2,2,3,3
196,B,47,3,4,3,3,4,4,3,2,4
197,A,35,,3,3,2,2,2,2,2,3
198,B,43,3,3,3,3,3,3,4,4,4
199,A,35,3,3,3,4,4,4,3,3,5
200,B,28,4,3,3,4,4,4,4,3,4
201,A,32,1,2,,1,2,2,2,2,2
202,B,41,4,4,2,5,5,5,4,4,5
203,A,36,2,3,2,4,3,3,4,4,3
204,B,30,3,3,3,5,4,4,3,5,4
205,A,28,3,3,3,5,5,5,5,5,5
206,B,24,3,3,3,3,3,3,2,3,2
207,A,32,4,3,3,3,3,3,3,3,3
208,B,35,3,3,3,4,3,3,4,3,3
209,A,36,,3,4,3,3,4,3,4,4
210,B,33,4,3,3,3,4,5,3,4,3
211,A,40,5,5,5,4,3,4,4,5,4
212,B,41,3,4,5,4,4,3,3,3,2
213,A,34,4,4,4,4,4,5,4,3,4
214,B,24,4,4,4,4,3,3,3,3,2
215,A,45,3,4,3,4,3,3,1,2,2
216,B,42,2,3,3,3,3,4,3,3,3
217,A,25,3,3,2,3,3,3,3,3,3
218,B,36,3,3,2,2,3,2,3,3,3
219,A,26,3,3,3,2,2,3,3,2,2
220,B,27,3,3,3,4,3,4,4,3,4
221,A,34,3,3,4,2,3,2,3,2,3
222,B,35,3,3,3,3,4,3,3,4,4
223,A,36,2,2,3,1,2,1,1,2,2
224,B,42,3,2,2,2,3,3,2,2,2
225,A,34,2,3,2,4,4,4,3,3,3
226,B,39,4,3,4,2,3,3,4,4,4
227,A,53,3,3,3,4,2,2,2,2,3
228,B,44,3,3,3,4,3,2,3,3,4
229,A,38,2,2,3,1,2,2,1,1,1
230,B,44,3,4,3,,3,2,3,3,4
231,A,42,2,3,2,2,2,1,4,4,3
232,B,37,3,4,4,4,3,4,4,4,4
233,A,46,2,2,4,3,3,3,4,4,3
234,B,42,4,3,3,2,2,2,2,3,2
235,A,43,2,3,2,2,4,4,3,3,2
236,B,39,3,3,3,4,3,3,2,3,3
237,A,27,3,3,3,2,2,2,3,2,3
238,B,34,3,4,4,2,3,3,4,3,3
239,A,41,3,3,3,4,4,3,4,4,4
240,B,35,3,2,3,4,4,3,4,5,5
241,A,39,4,3,4,3,5,2,3,4,4
242,B,24,3,3,3,2,2,2,3,2,3
243,A,48,3,3,3,3,3,4,3,3,4
244,B,41,2,3,2,3,2,3,4,2,4
245,A,31,4,3,4,2,2,2,3,4,3
246,B,40,3,4,3,4,3,3,4,4,4
247,A,37,3,3,4,3,2,3,3,3,2
248,B,24,2,2,2,3,3,3,2,2,1
249,A,35,3,2,3,3,2,3,2,3,4
250,B,33,3,2,3,3,4,3,3,3,3
251,A,39,4,5,4,4,4,5,4,2,4
252,B,40,2,2,2,3,3,2,4,4,3
253,A,38,1,3,2,2,1,2,3,2,2
254,B,50,4,4,3,2,3,3,3,4,4
255,A,37,4,5,4,4,4,5,4,4,5
256,B,23,3,3,2,5,4,3,3,4,4
257,A,27,3,3,3,2,2,2,2,1,2
258,B,41,3,3,3,4,4,4,4,4,3
259,A,36,2,3,4,1,2,2,3,2,3
260,B,20,3,2,2,2,3,3,2,3,4
