person_id,day,age,intervention,daily_stress,daily_recovery,daily_engagement,stress_i1,stress_i2,recovery_i1,recovery_i2,engagement_i1,engagement_i2,scenario,purchase,aigc_clicks,exposure_minutes
D015,2,45,0,2.047,2.818,2.326,1.836,2.105,2.733,2.792,2.124,2.927,S2,0,3,39
D015,3,45,0,3.095,2.94,2.941,2.971,3.414,2.423,2.733,2.909,2.78,S3,0,4,40
D015,4,45,0,2.712,2.804,2.14,2.25,3.245,3.13,2.853,2.172,2.273,S4,1,6,24
D015,5,45,0,3.764,2.682,3.068,4.171,3.63,3.247,2.977,3.359,3.292,S1,0,8,54
D015,6,45,0,3.341,2.913,3.435,2.712,3.093,2.772,2.901,2.875,3.401,S2,1,5,46
D015,7,45,0,2.425,2.135,2.805,2.684,2.674,1.872,2.153,2.579,3.083,S3,1,8,40
D015,8,45,0,2.095,3.544,3.878,1.631,1.518,3.342,3.925,3.929,4.512,S4,0,5,42
D015,9,45,0,3.215,2.401,3.411,3.042,2.75,2.512,2.115,3.102,3.204,S1,1,3,57
D015,10,45,0,2.441,3.063,2.832,2.509,2.767,3.41,3.025,3.18,2.953,S2,0,6,54
D016,1,42,1,3.133,3.451,3.803,3.772,3.194,3.48,3.317,3.239,3.878,S2,1,5,42
D016,2,42,1,3.636,2.068,2.31,3.538,3.736,1.67,1.988,2.65,2.238,S3,0,5,44
D016,3,42,1,3.476,1.679,3.153,3.643,3.018,1.373,1.615,2.966,3.278,S4,1,4,54
D016,4,42,1,3.844,2.542,3.297,3.576,3.858,2.327,2.559,2.89,3.741,S1,1,7,32
D016,5,42,1,3.556,2.857,2.842,3.339,3.787,2.338,2.899,2.928,2.682,S2,1,4,47
D016,6,42,1,2.998,2.577,4.122,2.646,2.908,2.534,3.063,4.16,3.776,S3,1,8,39
D016,7,42,1,3.438,2.235,3.399,3.144,3.178,2.521,1.887,4.049,3.663,S4,1,5,37
D016,8,42,1,3.687,2.393,2.837,3.293,4.021,2.846,2.783,2.712,2.79,S1,0,7,40
D016,9,42,1,3.859,2.173,2.731,3.76,3.884,1.846,1.786,2.613,2.844,S2,0,6,49
D016,10,42,1,3.359,3.181,3.074,3.62,2.761,3.515,2.716,3.149,3.125,S3,1,5,29
D017,1,47,0,3.263,2.386,2.729,3.46,2.817,2.288,2.078,2.676,2.866,S3,1,6,47
D017,2,47,0,3.032,2.793,2.751,3.624,2.933,2.541,2.808,2.623,3.382,S4,1,5,47
D017,3,47,0,2.756,3.265,3.081,3.682,2.999,2.898,3.318,3.167,2.61,S1,1,3,45
D017,4,47,0,3.351,2.823,3.327,3.41,3.42,3.265,3.361,3.428,3.648,S2,1,7,47
D017,5,47,0,3.551,2.453,2.183,3.759,3.865,2.384,2.44,2.341,2.015,S3,1,5,41
D017,6,47,0,3.284,2.307,2.436,3.346,3.039,2.386,2.146,2.527,2.496,S4,1,5,55
D017,7,47,0,2.295,3.018,3.027,2.559,2.507,2.766,3.424,2.894,3.12,S1,1,5,52
D017,8,47,0,2.544,2.691,2.979,2.592,2.737,2.429,2.833,2.812,2.869,S2,0,7,25
D017,9,47,0,3.121,3.086,2.976,3.117,3.076,3.453,3.036,3.022,3.2,S3,0,7,26
D017,10,47,0,2.925,3.068,3.228,3.055,2.453,2.761,3.311,3.105,2.813,S4,1,6,41
D018,1,51,1,3.443,2.686,2.357,3.369,3.474,3.05,2.846,2.011,2.067,S4,0,5,35
D018,2,51,1,2.843,3.881,3.699,3.027,2.538,4.093,4.185,3.916,3.711,S1,0,6,21
D018,3,51,1,3.204,2.599,3.223,3.4,2.698,3.127,2.873,2.907,2.112,S2,1,4,38
D018,4,51,1,2.121,3.113,4.168,1.663,2.084,3.514,2.786,4.17,4.378,S3,0,6,31
D018,5,51,1,1.525,3.174,3.373,1.415,1.192,2.591,3.262,3.483,3.422,S4,0,5,47
D018,6,51,1,1.931,3.223,3.67,2.254,2.082,3.371,3.135,3.219,3.87,S1,0,6,35
D018,7,51,1,2.986,2.851,4.196,2.691,2.306,2.772,2.659,4.277,4.164,S2,1,6,58
D018,8,51,1,2.633,2.419,2.663,3.249,2.655,2.407,2.68,2.797,2.644,S3,1,7,59
D018,9,51,1,2.674,1.714,3.277,2.633,2.274,1.811,1.553,2.985,3.2,S4,0,5,28
D018,10,51,1,2.151,2.177,3.009,2.528,2.454,2.344,2.736,3.661,3.326,S1,0,5,28
D019,1,20,0,3.298,2.626,2.798,3.455,3.557,2.797,2.767,2.828,2.515,S1,1,6,38
D019,2,20,0,3.329,2.442,2.627,3.069,3.418,1.928,2.17,2.581,2.631,S2,1,7,21
D019,3,20,0,2.96,3.49,3.1,3.341,3.003,3.822,3.003,2.621,3.18,S3,1,6,53
D019,4,20,0,3.125,3.013,3.318,3.098,3.588,3.3,3.166,3.307,3.514,S4,1,5,32
D019,5,20,0,3.88,2.761,3.032,3.463,3.972,2.876,2.261,3.108,3.205,S1,0,3,36
D019,6,20,0,4.214,3.02,2.536,4.793,4.612,3.441,2.621,2.086,2.536,S2,0,5,36
D019,7,20,0,3.431,2.75,2.453,3.4,3.458,2.712,2.691,2.63,2.432,S3,0,6,33
D019,8,20,0,3.233,3.362,3.284,2.568,3.277,3.343,3.2,3.132,2.722,S4,0,6,40
D019,9,20,0,2.376,3.667,3.619,1.901,2.027,4.175,3.579,3.878,3.654,S1,1,6,57
D019,10,20,0,2.642,2.982,2.488,2.494,2.479,3.082,3.006,2.691,2.535,S2,1,6,36
D020,1,54,1,2.261,3.427,3.05,2.185,2.517,3.702,3.286,2.89,2.823,S2,1,5,42
D020,2,54,1,1.789,4.562,3.271,2.343,1.815,4.817,4.403,3.607,3.6,S3,1,4,32
D020,3,54,1,2.396,4.11,3.338,2.827,1.992,3.878,4.062,3.315,3.164,S4,0,6,33
D020,4,54,1,2.956,4.451,3.249,2.694,2.629,4.592,4.472,3.155,3.097,S1,0,7,27
D020,5,54,1,2.098,3.481,3.681,2.25,1.788,3.106,3.431,3.748,3.846,S2,0,5,47
D020,6,54,1,3.347,2.821,2.778,3.245,3.755,2.62,2.986,2.996,3.029,S3,1,6,40
D020,7,54,1,2.737,4.684,4.109,2.84,2.464,4.576,4.322,4.378,3.476,S4,1,5,42
D020,8,54,1,2.171,4.527,3.424,2.167,2.482,4.79,4.406,3.287,3.564,S1,0,7,46
D020,9,54,1,1.26,4.675,3.366,1.0,1.47,4.34,4.444,3.604,2.925,S2,1,5,40
D020,10,54,1,1.354,4.131,3.428,1.469,1.175,3.947,3.915,3.698,3.403,S3,0,7,57
D021,1,47,0,1.0,2.945,3.122,1.321,1.0,3.022,2.799,2.866,3.29,S3,0,8,35
D021,2,47,0,1.05,3.663,3.205,1.076,1.0,4.04,3.54,2.74,3.357,S4,1,7,38
D021,3,47,0,2.143,3.022,3.204,1.93,1.946,3.01,2.379,2.679,3.396,S1,1,7,51
D021,4,47,0,2.315,2.884,2.19,2.512,2.329,2.619,3.055,2.45,2.281,S2,0,4,24
D021,5,47,0,2.107,2.833,2.328,2.403,2.156,2.483,2.945,2.285,2.16,S3,0,6,51
D021,6,47,0,1.895,3.06,3.096,2.194,2.077,3.302,3.129,3.115,3.152,S4,0,5,38
D021,7,47,0,1.398,3.158,3.502,1.366,1.223,3.198,2.901,3.559,3.692,S1,1,8,54
D021,8,47,0,2.059,3.435,2.918,2.247,2.477,3.727,3.408,2.402,3.139,S2,1,7,51
D021,9,47,0,1.01,3.552,3.363,1.667,1.0,3.678,3.148,3.473,3.205,S3,0,4,41
D021,10,47,0,1.172,3.22,2.573,1.236,1.204,3.09,3.122,2.72,2.285,S4,1,5,60
D022,1,43,1,3.298,3.256,3.471,2.913,2.616,2.935,3.555,3.725,3.567,S4,0,6,49
D022,2,43,1,3.538,2.109,2.649,3.57,3.543,2.198,1.643,3.015,2.489,S1,0,3,55
D022,3,43,1,3.853,3.515,2.645,4.24,4.355,4.023,3.311,2.443,2.402,S2,1,5,30
D022,4,43,1,4.136,2.495,2.802,4.33,4.646,2.139,2.286,2.971,3.124,S3,1,5,38
D022,5,43,1,3.32,3.511,3.41,3.61,3.447,3.889,3.532,3.581,3.822,S4,0,6,56
D022,6,43,1,3.346,3.598,3.993,3.268,3.506,3.961,3.815,3.762,4.101,S1,1,5,21
D022,7,43,1,3.184,3.223,4.017,3.376,2.803,3.003,3.043,4.252,4.015,S2,1,6,49
D022,8,43,1,4.181,2.627,1.852,3.835,3.877,2.802,2.509,2.004,1.653,S3,0,6,34
D022,9,43,1,3.75,2.598,3.119,3.325,3.18,2.581,3.081,3.191,2.662,S4,0,5,24
D022,10,43,1,3.348,3.003,3.447,3.713,3.185,2.452,2.89,3.397,3.853,S1,1,5,38
D023,1,42,0,3.2,2.076,2.882,3.188,3.052,2.376,1.78,3.374,3.209,S1,0,6,26
D023,2,42,0,3.106,2.278,2.68,2.908,2.905,2.143,2.108,2.09,2.727,S2,0,7,31
D023,3,42,0,3.371,2.211,2.826,3.152,3.524,2.412,2.587,2.846,3.254,S3,0,7,47
D023,4,42,0,3.366,1.704,1.707,3.405,3.512,1.948,1.948,1.263,1.417,S4,0,3,22
D023,5,42,0,4.137,1.573,2.45,4.151,3.792,1.493,1.755,2.675,2.231,S1,0,7,25
D023,6,42,0,3.619,2.537,3.055,3.269,2.989,2.607,2.979,3.233,3.468,S2,1,4,24
D023,7,42,0,3.457,1.626,2.428,3.182,3.294,1.696,1.562,2.181,2.547,S3,1,6,59
D023,8,42,0,3.526,1.995,3.186,3.319,3.791,2.251,1.885,3.36,3.196,S4,0,5,41
D023,9,42,0,2.341,3.344,2.965,2.44,2.193,3.282,2.941,2.574,3.445,S1,0,6,54
D023,10,42,0,2.665,2.707,3.496,1.969,2.449,3.312,3.016,3.222,4.072,S2,0,7,59
D024,1,32,1,2.955,3.748,2.613,3.15,2.907,3.662,3.753,3.12,2.838,S2,1,6,21
D024,2,32,1,2.284,4.42,4.312,1.916,1.966,4.554,3.529,3.858,4.396,S3,0,5,59
D024,3,32,1,3.424,4.161,3.495,3.602,3.304,4.351,4.057,3.724,3.832,S4,1,5,49
D024,4,32,1,3.619,3.547,3.76,3.312,3.521,3.352,3.495,4.351,3.42,S1,0,5,24
D024,5,32,1,3.122,3.904,2.767,3.551,2.892,3.874,4.149,2.744,2.787,S2,1,5,42
D024,6,32,1,2.819,3.751,3.002,2.632,2.635,3.674,3.396,3.038,2.552,S3,1,4,47
D024,7,32,1,3.161,4.153,3.415,2.717,3.53,4.307,4.372,3.819,3.643,S4,0,6,39
D024,8,32,1,3.812,3.495,2.058,3.895,3.0,3.078,3.613,2.421,2.077,S1,1,6,54
D024,9,32,1,2.863,3.743,2.819,3.111,2.662,4.009,3.812,3.128,3.055,S2,0,8,60
D024,10,32,1,4.096,2.896,2.233,4.157,3.511,2.94,3.036,2.313,2.414,S3,0,7,34
D025,1,27,0,2.42,3.209,2.953,1.886,2.406,3.147,3.557,3.141,2.887,S3,1,2,60
D025,2,27,0,1.0,4.653,3.148,1.0,1.31,4.765,4.81,3.381,2.708,S4,1,5,55
D025,3,27,0,1.253,4.258,3.546,1.166,1.0,3.808,4.074,3.235,3.985,S1,0,6,23
D025,4,27,0,1.032,4.758,3.978,1.061,1.248,4.467,4.848,3.896,3.862,S2,1,6,56
D025,5,27,0,1.253,4.17,3.471,1.409,1.15,4.405,4.521,3.636,3.669,S3,1,3,32
D025,6,27,0,1.838,3.152,2.962,1.534,1.989,2.586,2.207,2.885,3.593,S4,0,7,53
D025,7,27,0,1.152,3.826,3.286,1.4,1.495,4.33,3.393,3.536,3.831,S1,1,7,52
D025,8,27,0,1.899,3.182,2.187,1.563,2.148,3.441,3.125,1.905,2.255,S2,1,5,33
D025,9,27,0,2.238,3.84,3.624,1.883,1.786,3.903,3.868,3.678,3.227,S3,0,6,30
D025,10,27,0,1.665,3.362,2.713,1.456,1.589,3.441,2.913,3.07,2.57,S4,0,5,26
D026,1,35,1,2.974,4.742,4.217,3.468,3.214,4.771,4.434,4.134,4.98,S4,0,8,51
D026,2,35,1,3.386,3.398,2.659,3.17,3.033,3.229,3.075,3.164,3.1,S1,1,7,27
D026,3,35,1,3.128,3.8,3.64,3.471,2.959,3.875,3.675,3.611,3.861,S2,0,6,47
D026,4,35,1,3.342,4.446,3.056,2.926,4.028,4.246,4.327,3.671,3.121,S3,0,5,54
D026,5,35,1,3.219,3.683,2.956,2.995,2.82,3.726,3.392,3.066,3.074,S4,0,6,27
