person_id,occasion,emotion,ai_trust,scenario,purchase,aigc_clicks,exposure_minutes
I005,18,-1.642,0.023,S4,1,5,30
I005,19,-1.516,-0.795,S5,0,5,46
I005,20,-1.581,-0.748,S1,0,8,37
I005,21,-0.515,-0.479,S2,0,5,58
I005,22,-0.316,-0.157,S3,0,3,26
I005,23,-0.727,0.498,S4,0,4,17
I005,24,-1.049,0.52,S5,0,5,29
I005,25,0.035,0.495,S1,0,6,58
I006,1,0.654,1.479,S3,0,6,50
I006,2,1.126,1.083,S4,0,4,34
I006,3,-0.102,0.485,S5,1,4,54
I006,4,0.636,0.798,S1,1,5,54
I006,5,1.392,1.165,S2,1,4,42
I006,6,1.02,1.294,S3,1,6,20
I006,7,1.71,1.365,S4,1,6,31
I006,8,1.248,2.072,S5,1,3,16
I006,9,0.724,1.565,S1,0,4,26
I006,10,1.182,0.81,S2,0,6,44
I006,11,1.552,1.308,S3,0,5,37
I006,12,1.372,1.012,S4,1,4,37
I006,13,0.634,0.806,S5,1,6,46
I006,14,0.551,0.85,S1,1,8,16
I006,15,0.489,0.963,S2,0,7,44
I006,16,-0.136,0.134,S3,0,6,49
I006,17,-0.108,0.443,S4,0,7,22
I006,18,0.465,1.319,S5,1,5,58
I006,19,-0.887,1.666,S1,0,7,48
I006,20,-0.503,1.495,S2,1,4,38
I006,21,0.217,0.741,S3,0,4,50
I006,22,0.93,1.583,S4,1,6,29
I006,23,0.51,0.855,S5,0,4,35
I006,24,0.187,0.665,S1,0,6,40
I006,25,0.145,0.566,S2,0,6,36
I007,1,1.18,1.11,S4,0,6,17
I007,2,2.387,1.476,S5,1,10,40
I007,3,0.958,2.128,S1,1,6,42
I007,4,1.153,0.645,S2,1,4,33
I007,5,1.707,0.359,S3,0,6,58
I007,6,1.006,0.063,S4,1,3,40
I007,7,0.382,0.376,S5,1,6,55
I007,8,1.306,0.555,S1,0,5,31
I007,9,1.402,-0.171,S2,0,8,29
I007,10,0.783,-0.484,S3,0,4,20
I007,11,1.848,0.109,S4,0,7,38
I007,12,1.748,0.36,S5,1,8,15
I007,13,1.969,1.58,S1,1,9,22
I007,14,0.6,0.49,S2,0,4,30
I007,15,1.551,0.073,S3,0,5,44
I007,16,2.23,0.662,S4,1,5,42
I007,17,0.611,0.164,S5,0,6,16
I007,18,0.309,0.265,S1,0,4,48
I007,19,1.324,-0.026,S2,0,4,52
I007,20,1.131,0.563,S3,0,5,57
I007,21,0.73,1.084,S4,1,6,21
I007,22,1.127,0.683,S5,0,7,50
I007,23,1.3,0.264,S1,0,5,57
I007,24,1.554,0.272,S2,1,8,23
I007,25,2.005,0.537,S3,0,5,29
I008,1,0.017,-0.457,S5,1,5,55
I008,2,-0.656,-0.486,S1,1,4,25
I008,3,-0.711,-1.181,S2,1,3,39
I008,4,-0.203,-0.371,S3,0,4,31
I008,5,-0.986,-0.544,S4,1,4,52
I008,6,0.336,-1.038,S5,0,1,33
I008,7,-0.064,-0.639,S1,0,6,37
I008,8,-0.117,-0.793,S2,1,5,43
I008,9,0.723,-0.484,S3,0,7,46
I008,10,-0.105,0.125,S4,1,7,57
I008,11,0.2,-0.142,S5,0,6,22
I008,12,-0.241,-0.414,S1,0,5,48
I008,13,-0.433,-0.132,S2,0,4,19
I008,14,1.095,-1.075,S3,1,7,59
I008,15,-0.038,-1.333,S4,0,4,30
I008,16,-0.422,-1.067,S5,0,3,57
I008,17,-0.544,-1.306,S1,0,3,42
I008,18,-0.871,-1.035,S2,0,3,45
I008,19,0.313,-0.248,S3,1,6,56
I008,20,0.302,0.023,S4,0,7,42
I008,21,0.086,0.027,S5,0,6,22
I008,22,0.77,-1.393,S1,1,5,57
I008,23,-0.473,-0.274,S2,0,6,30
I008,24,0.616,-0.341,S3,1,5,56
I008,25,0.767,-0.869,S4,1,6,47
I009,1,0.999,0.716,S1,1,6,48
I009,2,0.091,0.933,S2,0,7,46
I009,3,1.004,0.425,S3,0,3,48
I009,4,1.356,0.087,S4,0,3,26
I009,5,0.362,0.846,S5,0,3,22
I009,6,1.229,1.141,S1,1,7,46
I009,7,1.294,0.315,S2,1,7,18
I009,8,0.556,-0.073,S3,0,5,48
I009,9,1.589,1.311,S4,0,5,60
I009,10,1.403,1.483,S5,1,4,25
I009,11,1.435,2.063,S1,0,6,44
I009,12,1.994,0.489,S2,1,6,19
I009,13,0.953,0.009,S3,0,6,21
I009,14,1.106,0.54,S4,1,5,39
I009,15,0.796,-0.201,S5,0,7,60
I009,16,0.967,0.128,S1,0,6,27
I009,17,0.433,0.271,S2,0,6,33
I009,18,0.128,0.814,S3,1,5,34
I009,19,0.201,-0.218,S4,0,4,49
I009,20,1.187,-0.128,S5,0,6,16
I009,21,0.686,-0.623,S1,0,6,36
I009,22,0.005,-0.4,S2,0,5,17
I009,23,0.577,-0.45,S3,0,5,33
I009,24,-0.694,0.078,S4,0,6,29
I009,25,-0.143,0.316,S5,1,8,55
I010,1,-0.731,-1.042,S2,0,6,46
I010,2,-0.711,-0.873,S3,0,5,34
I010,3,-1.713,-1.992,S4,0,3,53
I010,4,-1.341,-2.201,S5,0,2,50
I010,5,-1.33,-1.253,S1,0,6,56
I010,6,-1.043,-0.381,S2,1,5,58
I010,7,0.044,-1.404,S3,1,5,42
I010,8,0.178,-0.076,S4,0,5,35
I010,9,0.13,-0.33,S5,1,3,16
I010,10,-0.099,-0.97,S1,1,6,25
I010,11,-0.604,-1.365,S2,0,7,27
I010,12,-0.133,-1.384,S3,0,2,56
I010,13,-1.062,-1.901,S4,0,3,45
I010,14,-0.653,-1.98,S5,0,3,36
I010,15,-0.825,-1.02,S1,1,2,44
I010,16,-1.017,-0.922,S2,0,5,27
I010,17,-0.304,-1.399,S3,1,6,20
I010,18,-0.54,-0.8,S4,0,5,58
I010,19,-0.172,-1.069,S5,0,3,16
I010,20,0.092,-0.658,S1,0,8,56
I010,21,-0.55,-0.972,S2,0,3,23
I010,22,-1.066,-0.594,S3,1,3,58
I010,23,-0.363,-1.43,S4,0,3,54
I010,24,-0.267,-1.295,S5,0,5,53
I010,25,0.054,-0.957,S1,1,3,48
I011,1,0.213,0.188,S3,0,6,51
I011,2,0.063,-0.27,S4,0,4,24
I011,3,-1.229,0.742,S5,1,6,51
I011,4,0.061,1.012,S1,0,8,28
I011,5,1.106,0.437,S2,1,5,28
I011,6,0.723,0.435,S3,0,3,23
I011,7,-0.383,0.145,S4,1,3,19
I011,8,-0.903,-0.299,S5,1,5,20
I011,9,0.195,-0.668,S1,0,6,42
I011,10,-0.578,-0.525,S2,0,4,18
I011,11,0.199,-0.943,S3,0,3,36
I011,12,-0.375,0.018,S4,0,5,57
I011,13,0.703,-1.403,S5,1,4,28
I011,14,-0.911,-1.003,S1,0,4,49
I011,15,-0.696,-1.45,S2,0,6,16
I011,16,-1.16,0.322,S3,0,5,45
I011,17,-0.533,0.655,S4,0,7,51
I011,18,-0.577,0.549,S5,1,4,15
I011,19,-0.039,-0.081,S1,0,2,24
I011,20,0.297,-0.099,S2,0,6,28
I011,21,-0.138,-0.38,S3,1,6,25
I011,22,-1.067,0.409,S4,1,6,34
I011,23,-0.96,0.187,S5,0,5,41
I011,24,-1.164,0.111,S1,0,7,55
I011,25,-0.351,0.539,S2,0,3,56
I012,1,-0.791,0.973,S4,0,7,57
I012,2,0.515,-0.019,S5,1,6,42
I012,3,-0.328,-0.563,S1,1,6,47
I012,4,-0.493,0.535,S2,0,5,55
I012,5,-1.291,-0.406,S3,1,4,52
I012,6,-1.791,0.038,S4,0,3,46
I012,7,-0.079,-0.423,S5,0,5,24
I012,8,0.918,-0.395,S1,1,5,20
I012,9,0.2,-0.225,S2,1,4,27
I012,10,-0.595,0.31,S3,1,3,28
I012,11,-0.169,0.334,S4,0,4,60
I012,12,0.51,-0.072,S5,1,7,17
I012,13,0.308,0.597,S1,0,5,24
I012,14,-0.11,0.483,S2,0,5,34
I012,15,0.339,0.564,S3,1,7,42
I012,16,-0.623,-0.086,S4,1,8,43
I012,17,0.419,0.014,S5,0,5,39
I012,18,-1.184,-1.121,S1,0,3,59
I012,19,-0.307,0.092,S2,0,8,31
I012,20,0.091,-0.087,S3,0,5,36
I012,21,0.006,-1.75,S4,0,3,41
I012,22,-0.081,-0.359,S5,0,6,17
I012,23,0.147,-0.006,S1,0,2,60
I012,24,-0.16,0.351,S2,0,4,39
I012,25,-0.081,0.17,S3,0,5,59
I013,1,-0.319,-1.194,S5,0,4,47
I013,2,-0.426,-0.99,S1,0,6,16
I013,3,-0.932,-0.771,S2,0,6,30
I013,4,-0.59,-1.117,S3,0,4,24
I013,5,0.026,-0.052,S4,0,4,48
I013,6,-0.502,-1.053,S5,0,5,24
I013,7,-0.318,-0.084,S1,0,6,47
I013,8,-0.359,-0.182,S2,0,4,46
I013,9,0.265,-0.317,S3,0,7,47
I013,10,0.268,-0.902,S4,0,5,27
I013,11,0.195,-0.451,S5,0,5,18
I013,12,0.454,-0.075,S1,0,6,47
I013,13,0.835,-0.389,S2,0,5,32
I013,14,-0.456,-0.882,S3,0,4,41
I013,15,0.111,-1.111,S4,1,5,47
I013,16,0.251,-0.33,S5,0,8,35
I013,17,-0.225,-0.194,S1,1,3,20
I013,18,-0.659,-0.265,S2,1,5,35
I013,19,0.057,-0.444,S3,0,4,32
I013,20,-0.333,-0.461,S4,0,2,46
I013,21,-0.445,-0.372,S5,0,3,19
I013,22,-0.136,-0.566,S1,0,8,34
I013,23,-0.478,-0.895,S2,0,5,52
I013,24,-0.825,-0.355,S3,0,8,45
I013,25,-0.363,-0.764,S4,0,3,41
I014,1,-0.305,-0.25,S1,0,4,29
I014,2,-0.355,-0.375,S2,1,7,40
I014,3,-0.599,0.154,S3,0,3,21
I014,4,-0.288,-0.503,S4,1,7,56
I014,5,-0.492,-0.266,S5,0,2,33
I014,6,-1.02,0.418,S1,0,5,40
I014,7,-1.167,0.12,S2,0,4,51
I014,8,-0.837,-0.579,S3,0,6,60
I014,9,-0.618,-0.306,S4,0,7,30
I014,10,-0.625,-0.61,S5,1,6,52
I014,11,-0.25,-0.273,S1,0,5,45
I014,12,-0.41,-0.229,S2,0,3,35
I014,13,0.091,0.167,S3,0,5,22
I014,14,0.172,-0.477,S4,1,8,19
I014,15,0.197,-0.291,S5,0,6,28
I014,16,-0.832,0.093,S1,1,5,19
I014,17,-2.201,-0.732,S2,1,4,58
I014,18,-0.6,-0.766,S3,0,6,23
I014,19,-1.584,-0.044,S4,0,4,16
I014,20,-1.616,-0.003,S5,0,5,49
I014,21,-0.527,-1.354,S1,0,2,40
I014,22,-0.715,-1.852,S2,0,4,48
I014,23,-1.317,-1.137,S3,0,2,51
I014,24,-1.214,-1.056,S4,1,2,25
I014,25,-1.009,-1.014,S5,0,6,43
I015,1,-0.401,0.095,S2,0,4,15
I015,2,0.098,-0.259,S3,0,5,42
I015,3,0.917,-0.794,S4,0,4,28
I015,4,1.354,-1.068,S5,1,2,59
I015,5,0.955,-0.568,S1,0,4,23
I015,6,0.186,-0.461,S2,1,9,50
I015,7,0.27,-0.176,S3,1,7,20
I015,8,0.069,-0.369,S4,0,5,48
I015,9,-0.549,-0.087,S5,0,6,41
I015,10,0.213,-0.342,S1,1,2,50
I015,11,0.583,-0.739,S2,1,3,52
I015,12,0.132,-0.094,S3,0,6,21
I015,13,1.22,0.54,S4,0,7,37
I015,14,1.392,-0.224,S5,0,5,42
I015,15,0.822,1.121,S1,0,5,42
I015,16,0.321,-0.654,S2,0,2,20
I015,17,0.952,-0.247,S3,0,5,47
I015,18,0.673,1.06,S4,0,6,15
I015,19,0.863,-0.547,S5,0,4,51
I015,20,0.003,-0.858,S1,0,5,49
I015,21,-0.017,0.239,S2,1,7,33
I015,22,1.065,-0.204,S3,1,4,49
I015,23,-0.298,0.036,S4,0,6,59
I015,24,0.741,-0.062,S5,0,6,54
I015,25,0.84,-0.65,S1,1,6,35
I016,1,0.494,1.051,S3,0,7,60
I016,2,-0.223,0.784,S4,0,5,33
I016,3,0.049,-0.641,S5,0,6,26
I016,4,-0.562,0.315,S1,0,6,18
I016,5,-0.724,-0.509,S2,0,6,39
I016,6,-0.484,-0.601,S3,0,5,39
I016,7,-0.441,-0.408,S4,0,8,42
I016,8,0.771,-0.046,S5,0,2,29
I016,9,-0.209,1.132,S1,0,3,49
I016,10,-0.927,0.469,S2,0,6,37
I016,11,-0.609,0.915,S3,1,7,20
I016,12,-1.002,0.268,S4,0,6,16
I016,13,0.648,0.042,S5,0,6,47
I016,14,0.039,0.127,S1,0,3,38
I016,15,0.484,0.086,S2,0,5,44
I016,16,0.143,1.063,S3,0,6,58
I016,17,-0.726,1.035,S4,0,5,48
I016,18,-1.146,0.232,S5,1,5,33
I016,19,0.158,0.072,S1,0,8,31
I016,20,-0.097,-0.075,S2,1,5,41
I016,21,0.588,0.869,S3,0,6,27
I016,22,-1.073,0.369,S4,1,7,20
I016,23,0.191,0.013,S5,1,5,18
I016,24,-0.042,-0.316,S1,0,5,49
I016,25,0.755,-0.223,S2,1,4,33
I017,1,0.673,0.733,S4,0,4,19
I017,2,0.682,0.217,S5,0,5,23
I017,3,0.917,-0.305,S1,1,6,15
I017,4,0.85,0.1,S2,1,8,16
I017,5,0.124,0.027,S3,1,8,32
I017,6,0.551,0.328,S4,0,5,59
I017,7,-0.038,0.729,S5,0,7,57
I017,8,-0.082,0.177,S1,1,8,20
I017,9,-0.851,-0.054,S2,0,7,16
I017,10,-0.072,0.053,S3,0,3,21
I017,11,-0.078,1.414,S4,1,8,30
I017,12,0.876,0.637,S5,1,2,55
I017,13,0.526,0.63,S1,0,8,34
I017,14,0.835,0.26,S2,0,2,30
I017,15,0.444,0.4,S3,1,5,19
I017,16,-0.003,1.411,S4,1,4,32
I017,17,0.268,-0.933,S5,0,4,31
I017,18,-0.203,0.099,S1,1,4,58
I017,19,0.113,-0.42,S2,0,7,53
I017,20,0.471,-0.598,S3,0,5,25
I017,21,0.171,0.671,S4,1,7,17
I017,22,0.629,0.213,S5,0,5,22
I017,23,-0.505,0.609,S1,1,6,29
I017,24,0.058,0.66,S2,0,6,57
I017,25,0.787,-0.204,S3,1,7,55
I018,1,0.023,-0.748,S5,0,6,48
I018,2,-0.764,0.24,S1,0,5,34
I018,3,-0.496,-1.44,S2,1,4,43
I018,4,-0.241,-1.068,S3,0,4,31
I018,5,-0.67,-0.522,S4,0,4,50
I018,6,0.243,0.364,S5,1,5,15
I018,7,-0.384,-0.479,S1,0,5,34
I018,8,-0.352,-0.737,S2,1,5,46
I018,9,-0.403,0.333,S3,1,10,25
I018,10,-0.815,-0.609,S4,0,7,44
I018,11,-0.636,-1.222,S5,0,5,57
I018,12,-0.021,-0.594,S1,0,4,59
I018,13,0.663,-0.012,S2,1,4,35
I018,14,0.482,-0.402,S3,0,6,32
I018,15,0.6,-0.503,S4,0,4,31
I018,16,0.903,-0.705,S5,0,5,32
I018,17,0.724,-0.146,S1,0,1,28
I018,18,0.39,0.099,S2,0,4,23
I018,19,0.624,-0.3,S3,0,5,51
I018,20,0.572,-0.659,S4,0,2,52
I018,21,0.778,-0.043,S5,0,5,26
I018,22,0.982,0.066,S1,0,5,24
I018,23,0.413,0.006,S2,0,4,51
I018,24,0.254,-1.183,S3,1,4,48
I018,25,0.679,-0.481,S4,1,6,59
I019,1,-1.121,-0.686,S1,0,5,44
I019,2,-2.388,0.007,S2,0,6,46
I019,3,-1.324,-0.272,S3,0,6,19
I019,4,-1.92,0.043,S4,0,3,41
I019,5,-1.58,0.268,S5,1,7,36
I019,6,-0.564,0.757,S1,0,5,58
I019,7,-0.831,1.022,S2,0,8,47
I019,8,-0.95,0.708,S3,1,5,31
I019,9,-0.81,0.281,S4,0,5,16
I019,10,-1.454,0.057,S5,1,4,32
I019,11,-1.279,0.461,S1,0,7,40
I019,12,-0.994,0.211,S2,0,6,16
I019,13,-1.226,0.11,S3,1,5,43
I019,14,-1.197,1.171,S4,1,7,54
I019,15,-1.258,0.498,S5,1,5,52
I019,16,-1.402,-0.29,S1,1,4,47
I019,17,-1.847,-0.852,S2,0,7,50
I019,18,-1.352,-1.305,S3,0,5,42
I019,19,-0.879,0.032,S4,0,3,34
I019,20,-0.785,0.043,S5,0,7,48
I019,21,-1.276,0.834,S1,0,5,42
I019,22,-0.512,0.546,S2,0,7,23
I019,23,-1.398,0.557,S3,1,5,20
I019,24,-1.309,-0.729,S4,0,4,18
I019,25,-0.102,0.672,S5,0,6,40
I020,1,-0.912,-0.811,S2,0,3,41
I020,2,-0.716,-1.433,S3,1,1,31
I020,3,-0.72,-1.381,S4,1,2,32
I020,4,-0.647,-0.483,S5,0,7,17
I020,5,0.036,-1.217,S1,0,3,21
I020,6,-0.408,-0.654,S2,0,6,35
I020,7,-0.4,-0.424,S3,0,6,18
I020,8,-1.116,-0.145,S4,1,6,49
I020,9,-0.769,-0.394,S5,0,3,24
I020,10,0.022,-0.338,S1,1,4,43
I020,11,0.582,-0.784,S2,1,5,49
I020,12,0.183,-1.177,S3,0,4,51
I020,13,-0.941,-0.235,S4,0,5,57
I020,14,-0.31,-0.472,S5,0,5,41
I020,15,-0.154,-0.15,S1,0,8,16
I020,16,-0.665,-0.385,S2,0,7,16
I020,17,-0.899,-1.171,S3,0,6,30
I020,18,-0.901,-1.187,S4,0,3,21
I020,19,-1.611,-0.784,S5,1,5,16
I020,20,-0.46,-1.295,S1,0,5,54
I020,21,-0.78,0.378,S2,1,5,31
I020,22,-1.01,-0.109,S3,0,3,43
I020,23,-1.04,-0.44,S4,0,5,15
I020,24,-1.145,-0.744,S5,0,3,59
I020,25,-1.968,-1.117,S1,0,7,26
I021,1,-0.219,1.168,S3,0,4,41
I021,2,-0.281,1.112,S4,1,4,40
I021,3,-0.665,0.766,S5,1,5,35
I021,4,-1.63,0.463,S1,0,8,47
I021,5,-0.781,-0.008,S2,1,3,29
I021,6,-0.243,0.34,S3,0,6,55
I021,7,-0.115,0.287,S4,0,4,20
I021,8,-0.77,1.163,S5,1,4,54
I021,9,-0.65,0.357,S1,0,3,51
I021,10,-0.567,-0.079,S2,1,3,28
I021,11,-0.657,0.539,S3,0,5,41
I021,12,-0.616,0.902,S4,1,8,52
I021,13,0.134,0.619,S5,1,3,22
I021,14,0.266,0.912,S1,0,6,21
I021,15,0.112,1.402,S2,1,6,57
I021,16,0.249,0.982,S3,0,4,31
I021,17,-0.122,0.836,S4,1,5,49
I021,18,-0.254,1.361,S5,1,6,41
I021,19,0.739,0.235,S1,0,5,16
I021,20,-0.441,0.319,S2,0,4,51
I021,21,-0.767,0.113,S3,0,5,34
I021,22,-0.054,0.385,S4,1,5,34
I021,23,-0.219,0.743,S5,0,6,15
I021,24,-0.68,1.574,S1,1,6,33
I021,25,-0.831,1.773,S2,0,6,29
I022,1,0.315,0.309,S4,0,4,31
I022,2,0.899,1.026,S5,1,7,53
I022,3,-0.33,0.993,S1,1,7,50
I022,4,0.37,1.035,S2,1,6,34
I022,5,1.861,1.298,S3,0,4,32
I022,6,0.329,1.054,S4,1,7,37
I022,7,0.966,1.721,S5,0,8,21
I022,8,0.39,1.037,S1,0,4,40
I022,9,1.263,0.439,S2,1,5,17
I022,10,0.32,0.558,S3,0,4,60
I022,11,0.881,0.399,S4,1,7,38
I022,12,0.597,0.656,S5,1,6,47
I022,13,-0.011,0.647,S1,1,6,20
I022,14,0.38,0.445,S2,0,4,27
I022,15,-0.346,0.532,S3,0,8,24
I022,16,-0.057,0.607,S4,0,6,50
I022,17,0.892,0.088,S5,0,3,23
I022,18,-0.017,-0.177,S1,1,6,19
I022,19,-0.891,0.522,S2,0,7,57
I022,20,-0.336,-0.113,S3,0,4,39
I022,21,0.255,0.457,S4,1,7,22
I022,22,0.791,0.807,S5,1,7,45
I022,23,0.509,0.847,S1,0,6,35
I022,24,-0.038,0.948,S2,0,3,45
I022,25,-0.097,0.473,S3,0,9,49
I023,1,-0.513,1.514,S5,0,6,32
I023,2,-0.655,-0.57,S1,1,2,37
I023,3,-0.804,-0.252,S2,1,3,18
I023,4,-0.28,-0.294,S3,1,5,22
I023,5,-0.092,-0.234,S4,0,3,27
I023,6,-0.79,0.002,S5,0,4,18
I023,7,-1.291,-0.678,S1,1,4,28
I023,8,-1.144,-0.513,S2,0,4,41
I023,9,-0.894,-0.388,S3,1,3,57
I023,10,-0.766,-0.865,S4,0,6,36
I023,11,-0.579,-0.248,S5,1,4,46
I023,12,-0.223,-0.145,S1,0,3,23
I023,13,-0.55,0.091,S2,0,9,43
I023,14,-0.758,-0.774,S3,0,3,44
I023,15,-0.442,-0.529,S4,0,8,18
I023,16,-0.308,-0.719,S5,0,3,50
I023,17,-0.407,-0.636,S1,0,9,30
I023,18,-0.952,-0.319,S2,1,7,56
I023,19,-1.183,-0.168,S3,1,7,38
I023,20,-0.478,-0.527,S4,1,5,26
I023,21,0.114,-0.699,S5,0,3,18
I023,22,0.745,-0.214,S1,0,3,43
I023,23,-0.332,-0.057,S2,0,4,40
I023,24,-0.15,-0.153,S3,0,5,45
I023,25,-0.624,0.452,S4,1,4,24
I024,1,-0.193,0.47,S1,1,5,33
I024,2,-0.825,0.536,S2,0,7,28
I024,3,-0.982,-0.156,S3,0,6,20
I024,4,-0.081,-0.113,S4,0,3,19
I024,5,0.24,0.407,S5,0,6,19
I024,6,0.844,-1.012,S1,0,3,18
I024,7,-0.256,0.347,S2,1,4,20
I024,8,0.622,0.063,S3,1,6,19
I024,9,-0.378,0.309,S4,1,5,29
I024,10,-0.631,-1.217,S5,0,4,33
I024,11,-0.89,-1.568,S1,0,8,16
I024,12,-0.504,-0.278,S2,0,5,60
I024,13,-0.134,-0.696,S3,0,8,37
I024,14,-0.152,-0.859,S4,0,4,37
I024,15,-0.473,-1.044,S5,0,7,15
I024,16,-0.371,-0.362,S1,0,2,31
I024,17,0.468,-0.562,S2,0,5,35
I024,18,-0.176,-0.567,S3,0,4,57
I024,19,0.233,-0.416,S4,0,8,46
I024,20,-1.15,-0.958,S5,0,7,40
I024,21,-1.447,-0.822,S1,1,4,38
I024,22,-1.06,-1.356,S2,0,4,55
I024,23,-1.663,-1.715,S3,0,4,17
I024,24,-0.622,-0.363,S4,0,7,58
I024,25,-0.028,-0.58,S5,0,5,23
I025,1,-0.328,-0.029,S2,1,5,39
